"","model","Freq"
"112","FORD STREETKA",20
"113","FORD TOURNEO",64
"114","HONDA ACCORD",188
"115","HONDA CIVIC",1166
"116","HONDA CR-V",27
"117","HONDA CRV",443
"118","HONDA FR-V",36
"119","HONDA HR-V",48
"120","HONDA INSIGHT",90
"121","HONDA JAZZ",872
"122","HONDA MODEL MISSING",23
"123","HYUNDAI ACCENT",16
"124","HYUNDAI AMICA",32
"125","HYUNDAI COUPE",35
"126","HYUNDAI GETZ",117
"127","HYUNDAI I10",521
"128","HYUNDAI I20",291
"129","HYUNDAI I30",279
"130","HYUNDAI I40",43
"131","HYUNDAI I800",18
"132","HYUNDAI IONIQ",148
"133","HYUNDAI IX20",51
"134","HYUNDAI IX35",126
"135","HYUNDAI KONA",48
"136","HYUNDAI MATRIX",22
"137","HYUNDAI SANTA FE",52
"138","HYUNDAI TUCSON",267
"139","HYUNDAI VELOSTER",10
"140","INFINITI Q30",15
"141","ISUZU TROOPER",13
"142","JAGUAR E-PACE",45
"143","JAGUAR F-PACE",89
"144","JAGUAR F TYPE",16
"145","JAGUAR I-PACE",20
"146","JAGUAR S TYPE",42
"147","JAGUAR X TYPE",136
"148","JAGUAR XE SERIES",103
"149","JAGUAR XF SERIES",237
"150","JAGUAR XJ SERIES",47
"151","JAGUAR XK SERIES",20
"152","JEEP CHEROKEE",75
"153","JEEP COMPASS",20
"154","JEEP GRAND CHEROKEE",16
"155","JEEP RENEGADE",60
"156","JEEP WRANGLER",12
"157","KIA CARENS",44
"158","KIA CEED",304
"159","KIA NIRO",111
"160","KIA OPTIMA",24
"161","KIA PICANTO",453
"162","KIA PRO CEED",21
"163","KIA RIO",270
"164","KIA SEDONA",21
"165","KIA SORENTO",100
"166","KIA SOUL",37
"167","KIA SPORTAGE",494
"168","KIA STONIC",44
"169","KIA VENGA",83
"170","KIA XCEED",11
"171","LAND ROVER DEFENDER",143
"172","LAND ROVER DISCOVERY",524
"173","LAND ROVER FREELANDER",300
"174","LAND ROVER MODEL MISSING",18
"175","LAND ROVER RANGE ROVER",1020
"176","LEVC TX",52
"177","LEXUS CT 200",90
"178","LEXUS GS 450",12
"179","LEXUS GS300",12
"180","LEXUS IS200",42
"181","LEXUS IS220",52
"182","LEXUS IS250",45
"183","LEXUS IS300",39
"184","LEXUS NX300",40
"185","LEXUS RX300",10
"186","LEXUS RX400",39
"187","LEXUS RX450",46
"188","LEXUS UX 250H",13
"189","LONDON TAXIS INT. TX4",153
"190","LONDON TAXIS INT. TXII",28
"191","MAZDA 2",326
"192","MAZDA 3",294
"193","MAZDA 323",10
"194","MAZDA 5",48
"195","MAZDA 6",237
"196","MAZDA CX3",58
"197","MAZDA CX5",52
"198","MAZDA MODEL MISSING",13
"199","MAZDA MX-5",167
"200","MAZDA RX8",15
"201","MCC SMART",17
"202","MERCEDES A CLASS",1149
"203","MERCEDES AMG CLASS",70
"204","MERCEDES B CLASS",183
"205","MERCEDES C CLASS",1714
"206","MERCEDES CLA CLASS",159
"207","MERCEDES CLC CLASS",49
"208","MERCEDES CLK",11
"209","MERCEDES CLK CLASS",103
"210","MERCEDES CLS CLASS",61
"211","MERCEDES E CLASS",958
"212","MERCEDES GLA CLASS",274
"213","MERCEDES GLC CLASS",166
"214","MERCEDES GLE CLASS",49
"215","MERCEDES ML CLASS",96
"216","MERCEDES MODEL MISSING",26
"217","MERCEDES R CLASS",10
"218","MERCEDES S CLASS",102
"219","MERCEDES SL CLASS",22
"220","MERCEDES SLK CLASS",73
"221","MERCEDES V CLASS",40
"222","MERCEDES VIANO",14
"223","MERCEDES VITO",120
"224","MG 3",34
"225","MG XS",41
"226","MG ZR",17
"227","MG ZS",21
"228","MINI CLUBMAN",77
"229","MINI COOPER",1050
"230","MINI COUNTRYMAN",174
"231","MINI FIRST",19
"232","MINI JOHN COOPER WORKS",25
"233","MINI ONE",451
"234","MINI PACEMAN",22
"235","MINI ROADSTER",13
"236","MITSUBISHI ASX",62
"237","MITSUBISHI CARISMA",11
"238","MITSUBISHI COLT",113
"239","MITSUBISHI ECLIPSE",14
"240","MITSUBISHI GRANDIS",13
"241","MITSUBISHI LANCER",60
"242","MITSUBISHI MIRAGE",28
"243","MITSUBISHI MODEL MISSING",21
"244","MITSUBISHI OUTLANDER",200
"245","MITSUBISHI SHOGUN",96
"246","MITSUBISHI SPACE STAR",12
"247","NISSAN 350",11
"248","NISSAN ALMERA",117
"249","NISSAN JUKE",819
"250","NISSAN LEAF",106
"251","NISSAN MICRA",989
"252","NISSAN MODEL MISSING",44
"253","NISSAN NOTE",442
"254","NISSAN NV200",36
"255","NISSAN PATHFINDER",22
"256","NISSAN PIXO",44
"257","NISSAN PRIMERA",34
"258","NISSAN PULSAR",43
"259","NISSAN QASHQAI",1344
"260","NISSAN X-TRAIL",225
"261","PEUGEOT 106",35
"262","PEUGEOT 107",407
"263","PEUGEOT 108",179
"264","PEUGEOT 2008",214
"265","PEUGEOT 206",496
"266","PEUGEOT 207",689
"267","PEUGEOT 208",502
"268","PEUGEOT 3008",288
"269","PEUGEOT 306",23
"270","PEUGEOT 307",304
"271","PEUGEOT 308",551
"272","PEUGEOT 406",25
"273","PEUGEOT 407",89
"274","PEUGEOT 5008",70
"275","PEUGEOT 508",47
"276","PEUGEOT 807",10
"277","PEUGEOT EXPERT",42
"278","PEUGEOT HORIZON",17
"279","PEUGEOT MODEL MISSING",12
"280","PEUGEOT PARTNER",58
"281","PEUGEOT RCZ",23
"282","PORSCHE 718",11
"283","PORSCHE 911",41
"284","PORSCHE BOXSTER",33
"285","PORSCHE CAYENNE",55
"286","PORSCHE MACAN",49
"287","PORSCHE PANAMERA",20
"288","RENAULT CAPTUR",311
"289","RENAULT CLIO",1475
"290","RENAULT GRAND SCENIC",17
"291","RENAULT KADJAR",132
"292","RENAULT KANGOO",66
"293","RENAULT KOLEOS",11
"294","RENAULT LAGUNA",53
"295","RENAULT MEGANE",571
"296","RENAULT MODEL MISSING",13
"297","RENAULT MODUS",55
"298","RENAULT SCENIC",262
"299","RENAULT TRAFIC",11
"300","RENAULT TWINGO",91
"301","RENAULT ZOE",26
"302","ROVER 25",26
"303","ROVER 45",15
"304","ROVER 75",39
"305","SAAB 9-3",159
"306","SAAB 9-5",34
"307","SEAT ALHAMBRA",142
"308","SEAT ALTEA",84
"309","SEAT ARONA",64
"310","SEAT AROSA",13
"311","SEAT ATECA",51
"312","SEAT EXEO",10
"313","SEAT IBIZA",832
"314","SEAT LEON",771
"315","SEAT MII",44
"316","SEAT TARRACO",16
"317","SEAT TOLEDO",37
"318","SKODA CITIGO",116
"319","SKODA FABIA",709
"320","SKODA KAROQ",53
"321","SKODA KODIAQ",53
"322","SKODA OCTAVIA",768
"323","SKODA RAPID",73
"324","SKODA ROOMSTER",45
"325","SKODA SUPERB",171
"326","SKODA YETI",114
"327","SMART CITY",23
"328","SMART FORFOUR",86
"329","SMART FORTWO",213
"330","SSANGYONG KORANDO",10
"331","SSANGYONG RODIUS",15
"332","SSANGYONG TIVOLI",21
"333","SUBARU FORESTER",36
"334","SUBARU IMPREZA",47
"335","SUBARU LEGACY",14
"336","SUBARU OUTBACK",10
"337","SUZUKI ALTO",150
"338","SUZUKI BALENO",19
"339","SUZUKI CELERIO",50
"340","SUZUKI IGNIS",74
"341","SUZUKI JIMNY",62
"342","SUZUKI SPLASH",55
"343","SUZUKI SWIFT",380
"344","SUZUKI SX4",76
"345","SUZUKI VITARA",173
"346","SUZUKI WAGON R+",28
"347","TESLA MODEL 3",43
"348","TESLA MODEL S",28
"349","TESLA MODEL X",11
"350","TOYOTA AURIS",683
"351","TOYOTA AVENSIS",403
"352","TOYOTA AYGO",744
"353","TOYOTA C-HR",161
"354","TOYOTA CELICA",37
"355","TOYOTA COROLLA",469
"356","TOYOTA GT86",16
"357","TOYOTA HILUX",167
"358","TOYOTA IQ",45
"359","TOYOTA LANDCRUISER",44
"360","TOYOTA MODEL MISSING",118
"361","TOYOTA MR2",22
"362","TOYOTA PREVIA",30
"363","TOYOTA PRIUS",1236
"364","TOYOTA PRIUS+",189
"365","TOYOTA RAV4",281
"366","TOYOTA STARLET",19
"367","TOYOTA VERSO",85
"368","TOYOTA YARIS",1642
"369","VAUXHALL ADAM",147
"370","VAUXHALL AGILA",110
"371","VAUXHALL ANTARA",61
"372","VAUXHALL ASTRA",3713
"373","VAUXHALL ASTRAVAN",18
"374","VAUXHALL COMBO",119
"375","VAUXHALL CORSA",4051
"376","VAUXHALL CROSSLAND",103
"377","VAUXHALL GRANDLAND",145
"378","VAUXHALL INSIGNIA",879
"379","VAUXHALL MERIVA",334
"380","VAUXHALL MOKKA",505
"381","VAUXHALL SIGNUM",15
"382","VAUXHALL TIGRA",50
"383","VAUXHALL VECTRA",342
"384","VAUXHALL VIVA",82
"385","VAUXHALL VIVARO",15
"386","VAUXHALL ZAFIRA",1201
"387","VOLKSWAGEN ARTEON",11
"388","VOLKSWAGEN BEETLE",153
"389","VOLKSWAGEN BORA",60
"390","VOLKSWAGEN CADDY",65
"391","VOLKSWAGEN CC",48
"392","VOLKSWAGEN EOS",42
"393","VOLKSWAGEN FOX",37
"394","VOLKSWAGEN GOLF",3695
"395","VOLKSWAGEN JETTA",83
"396","VOLKSWAGEN LUPO",33
"397","VOLKSWAGEN MODEL MISSING",19
"398","VOLKSWAGEN PASSAT",884
"399","VOLKSWAGEN POLO",2248
"400","VOLKSWAGEN SCIROCCO",173
"401","VOLKSWAGEN SHARAN",243
"402","VOLKSWAGEN T-CROSS",25
"403","VOLKSWAGEN T-ROC",102
"404","VOLKSWAGEN TIGUAN",406
"405","VOLKSWAGEN TOUAREG",84
"406","VOLKSWAGEN TOURAN",293
"407","VOLKSWAGEN TRANSPORTER",29
"408","VOLKSWAGEN UP",210
"409","VOLKSWAGEN UP BY",15
"410","VOLKSWAGEN URBAN",66
"411","VOLVO C 30",64
"412","VOLVO C70",16
"413","VOLVO MODEL MISSING",10
"414","VOLVO S40",96
"415","VOLVO S60",83
"416","VOLVO S80",24
"417","VOLVO S90",11
"418","VOLVO V40",212
"419","VOLVO V50",99
"420","VOLVO V60",63
"421","VOLVO V70",97
"422","VOLVO V90",27
"423","VOLVO XC40",58
"424","VOLVO XC60",172
"425","VOLVO XC70",37
"426","VOLVO XC90",162
